folder,set_uuid,uuid,stime,pos,frame,ch,slice,time,posname,x,y,z,framename,chname,slicename,meta_pos,meta_frame,meta_ch,meta_slice
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,7cb21cf9-7225-4cbf-8794-ba52aab2a420,2014-11-30 16:44:19 -0800,0,0,1,3,9012,,434.1,-2283.2000000000003,0.5,,561confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,2199351d-6f61-453f-9306-265aaccaf691,2014-11-30 16:44:19 -0800,0,0,0,3,2208,,434.1,-2283.2000000000003,0.5,,640confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,164bec55-be38-452b-a034-202aa96d704b,2014-11-30 16:46:45 -0800,0,0,1,3,9008,,-922.8000000000001,-1729.8,0.5,,561confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,653aa98a-1f93-4edb-bbc5-861f0b3a2cad,2014-11-30 16:46:45 -0800,0,0,0,3,2183,,-922.8000000000001,-1729.8,0.5,,640confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,5473d8b4-a39c-499b-b162-33af3eec318d,2014-11-30 16:49:21 -0800,0,0,1,3,8995,,-805.2,-1179.6000000000001,0.5,,561confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,7b66251a-8637-405b-9cd4-c8ece63a5c59,2014-11-30 16:49:21 -0800,0,0,0,3,2191,,-805.2,-1179.6000000000001,0.5,,640confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,8ef3d0b7-4839-4994-b994-432d981e62d2,2014-11-30 16:40:05 -0800,0,0,0,4,2663,,165.1,-3280.1,1,,640confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,4670471f-2ca5-4bc4-b78b-b12a38bb3a52,2014-11-30 16:40:05 -0800,0,0,1,4,9493,,165.1,-3280.1,1,,561confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,6c8971f1-eb51-4ac3-b106-2e9a2baf73f5,2014-11-30 16:42:37 -0800,0,0,0,4,2648,,184.5,-2635.9,1,,640confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,5e668ae9-7bcb-47e8-8ce8-b7c7496b6e95,2014-11-30 16:42:37 -0800,0,0,1,4,9496,,184.5,-2635.9,1,,561confocalEM,,1,0,0,0
