ID,Area,XM,YM,Slice
1512,938,248.834,932.114,62
1513,1664,572.097,950.428,62
1514,1118,867.436,12.519,63
1515,1661,410.639,52.544,63
1516,1106,908.527,40.369,63
1517,525,1206.942,85.614,63
1518,369,1233.625,69.641,63
1519,1120,291.222,89.409,63
1520,754,1120.346,118.903,63
1521,1374,696.739,218.665,63
1522,1363,617.997,236.322,63
1523,586,1222.195,242.480,63
1524,1162,1347.906,258.608,63
1525,536,1142.524,283.082,63
1526,1066,25.542,344.950,63
1527,1110,359.474,458.760,63
1528,300,977.790,512.553,63
1529,1832,796.849,659.436,63
1530,1760,611.555,658.818,63
1531,1243,467.331,670.552,63
1532,851,687.864,705.147,63
1533,1973,106.326,744.940,63
1534,403,1384.805,756.021,63
1535,1268,709.221,807.374,63
1536,1368,553.005,862.452,63
1537,790,54.938,885.748,63
1538,835,1177.712,899.813,63
1539,794,261.869,924.346,63
1540,1031,568.826,957.396,63
1541,797,1183.639,1014.446,63
1542,651,163.901,1028.568,63
1543,413,1085.573,1033.975,63
1544,604,40.912,9.925,64
1545,2116,879.679,21.369,64
1546,1796,415.231,59.723,64
1547,1021,919.412,47.244,64
1548,442,1242.864,59.475,64
1549,550,1219.684,78.396,64
1550,1105,293.132,89.292,64
1551,710,1120.955,114.546,64
1552,628,1004.229,168.669,64
1553,1695,710.956,230.635,64
1554,1372,620.116,242.114,64
1555,1222,1340.190,238.092,64
1556,375,1223.119,247.153,64
1557,587,1143.495,282.226,64
1558,1232,30.657,346.448,64
1559,1410,347.530,462.081,64
1560,2052,598.599,650.532,64
1561,1775,795.203,660.203,64
1562,1302,456.089,671.006,64
1563,787,683.865,695.284,64
1564,1628,96.802,746.670,64
1565,1508,709.699,809.784,64
1566,1762,555.690,856.864,64
1567,776,63.173,888.443,64
1568,571,1174.421,894.968,64
1569,814,272.738,915.311,64
1570,1191,566.714,959.801,64
1571,1534,1187.704,1011.709,64
1572,522,146.682,1031.082,64
1573,651,1084.419,1028.944,64
1574,360,24.364,8.339,65
1575,2543,423.319,67.166,65
1576,2192,888.828,44.348,65
1577,381,1253.920,45.655,65
1578,640,946.622,60.991,65
1579,743,913.059,71.788,65
1580,1139,296.479,87.031,65
1581,813,1118.442,102.924,65
1582,519,1122.438,128.856,65
1583,597,1005.101,168.894,65
1584,1154,1341.549,221.678,65
1585,1734,713.917,242.793,65
1586,1597,616.733,257.241,65
1587,908,1229.182,251.191,65
1588,629,1141.497,277.155,65
1589,1423,30.910,343.137,65
1590,1810,337.719,459.833,65
1591,1460,583.499,650.484,65
1592,1554,796.008,656.830,65
1593,1168,448.106,676.622,65
1594,775,683.451,685.694,65
1595,1575,94.547,745.432,65
1596,1828,702.193,808.334,65
1597,1758,561.572,850.108,65
1598,796,70.937,890.559,65
1599,516,1184.492,886.585,65
1600,750,282.835,909.127,65
1601,901,579.019,958.835,65
1602,1703,1190.308,1013.469,65
1603,1239,1081.025,1025.314,65
1604,670,133.128,1028.894,65
1605,315,905.811,1033.884,65
1606,2091,891.409,56.364,66
1607,2032,424.320,78.621,66
1608,873,968.199,74.823,66
1609,1124,297.068,84.300,66
1610,1009,930.488,91.227,66
1611,726,1119.441,98.011,66
1612,517,1124.065,125.544,66
1613,441,1090.253,148.992,66
1614,315,998.522,155.529,66
1615,328,1004.631,182.881,66
1616,1149,1344.893,205.647,66
1617,1488,725.103,255.019,66
1618,1155,627.958,254.411,66
1619,1016,1229.347,261.106,66
1620,711,1137.807,276.753,66
1621,1344,27.937,346.135,66
1622,1195,336.365,453.974,66
1623,340,981.844,518.835,66
1624,1279,576.739,650.291,66
1625,1341,790.636,657.958,66
1626,1089,441.382,675.443,66
1627,902,676.952,676.549,66
1628,1443,91.855,743.163,66
1629,1298,704.706,811.782,66
1630,369,677.668,822.196,66
1631,1171,567.967,841.062,66
1632,447,1177.252,885.484,66
1633,489,72.118,896.929,66
1634,737,290.720,906.120,66
1635,1379,574.862,962.973,66
1636,1903,1198.787,1012.225,66
1637,950,125.025,1020.641,66
1638,918,1085.368,1024.326,66
1639,338,928.074,1031.929,66
1640,593,1265.949,20.814,67
1641,2105,896.352,62.074,67
1642,904,1003.944,62.629,67
1643,1997,425.962,83.736,67
1644,1176,300.131,87.426,67
1645,332,949.810,92.105,67
1646,475,969.871,86.628,67
1647,711,1116.828,97.854,67
1648,536,1125.168,125.218,67
1649,413,1093.146,146.323,67
1650,339,1001.117,156.176,67
1651,818,1348.213,192.430,67
1652,1451,723.569,268.869,67
1653,871,637.704,258.771,67
1654,1035,1229.715,262.561,67
1655,750,1133.336,271.840,67
1656,1824,32.598,347.997,67
1657,990,332.573,457.665,67
1658,420,982.469,518.857,67
1659,1066,565.054,651.416,67
1660,1396,791.514,659.766,67
1661,1317,434.453,670.950,67
1662,957,672.793,669.926,67
1663,1757,82.456,744.956,67
1664,1135,711.541,812.146,67
1665,345,687.259,825.784,67
1666,845,579.612,839.253,67
1667,403,1171.445,883.907,67
1668,597,77.255,899.900,67
1669,816,299.013,907.376,67
1670,981,579.367,953.766,67
1671,659,1208.055,1005.597,67
1672,839,105.838,1023.431,67
1673,1185,1077.894,1018.939,67
1674,457,925.231,1027.570,67
1675,543,1280.434,12.244,68
1676,1129,1017.833,38.682,68
1677,1883,898.815,72.185,68
1678,1734,430.788,88.090,68
1679,1251,990.208,85.616,68
1680,1229,304.136,90.797,68
1681,748,1118.679,105.170,68
1682,733,1109.295,140.886,68
1683,382,999.149,157.105,68
1684,814,1350.308,181.170,68
1685,884,642.779,258.695,68
1686,816,1222.075,264.876,68
1687,915,1126.080,277.204,68
1688,1474,736.483,292.860,68
1689,2255,34.731,343.166,68
1690,1020,330.281,464.808,68
1691,486,979.490,518.903,68
1692,1456,558.365,652.665,68
1693,1699,794.215,667.665,68
1694,1210,664.782,657.350,68
1695,1428,428.813,668.955,68
1696,1763,76.043,742.652,68
1697,640,1374.800,775.108,68
1698,1982,715.561,816.090,68
1699,415,1379.199,801.057,68
1700,834,586.928,839.079,68
1701,367,1170.881,883.312,68
1702,980,303.411,907.015,68
1703,673,73.392,905.069,68
1704,947,578.702,947.739,68
1705,301,544.998,980.503,68
1706,1115,1072.157,1021.481,68
1707,538,1199.658,1010.414,68
1708,913,95.239,1021.226,68
1709,405,914.986,1029.144,68
1710,488,128.070,6.834,69
1711,1570,1043.198,28.928,69
1712,349,1291.798,7.706,69
1713,1950,899.163,79.403,69
1714,1383,432.870,97.118,69
1715,1151,303.886,93.927,69
1716,732,1019.321,105.395,69
1717,633,1116.358,111.585,69
1718,547,1102.992,141.348,69
1719,829,999.517,168.563,69
1720,616,1359.912,177.157,69
1721,1222,1220.268,264.257,69
1722,828,651.041,259.832,69
1723,827,1119.927,278.563,69
1724,1309,744.488,307.678,69
1725,1765,35.863,340.995,69
1726,945,325.272,470.578,69
1727,368,980.783,527.595,69
1728,1365,657.475,648.335,69
1729,1091,547.959,656.667,69
1730,1619,422.313,668.130,69
1731,1612,797.600,677.104,69
1732,1731,64.807,740.091,69
1733,984,747.667,802.002,69
1734,1286,681.198,815.160,69
1735,863,588.103,835.945,69
1736,357,1166.553,881.492,69
1737,861,326.713,897.707,69
1738,655,76.005,906.143,69
1739,1193,574.920,940.543,69
1740,1289,521.004,988.817,69
1741,961,82.623,1016.117,69
1742,317,1190.415,1008.068,69
1743,753,1065.723,1024.204,69
1744,687,899.727,1027.443,69
1745,857,121.663,9.858,70
1746,373,569.433,5.315,70
1747,304,1301.872,5.829,70
1748,1364,1048.740,54.850,70
1749,1858,895.501,87.593,70
1750,1194,305.669,94.511,70
1751,1346,440.476,109.995,70
1752,661,1117.040,110.592,70
1753,1044,1038.075,113.137,70
1754,335,1093.309,154.022,70
1755,812,1000.047,168.477,70
1756,406,1354.022,180.975,70
1757,1011,655.906,255.532,70
1758,1291,1226.436,273.043,70
1759,798,1117.385,282.272,70
1760,1064,754.021,314.872,70
1761,1561,46.414,342.117,70
1762,1134,311.690,477.021,70
1763,399,982.658,530.001,70
1764,1649,652.389,640.099,70
1765,1010,538.312,657.899,70
1766,1647,421.307,672.204,70
1767,2036,795.702,681.971,70
1768,1572,63.995,732.240,70
1769,529,1384.576,796.693,70
1770,1043,750.393,802.683,70
1771,932,685.680,800.031,70
1772,930,599.547,832.685,70
1773,334,1165.967,877.644,70
1774,780,343.814,892.051,70
1775,702,73.507,906.491,70
1776,741,569.182,933.779,70
1777,1572,518.610,986.748,70
1778,923,1063.772,1011.027,70
1779,975,63.742,1022.907,70
1780,330,1186.012,1010.361,70
1781,621,888.959,1026.199,70
1782,1513,111.655,15.772,71
1783,501,577.035,7.131,71
1784,908,1077.144,59.335,71
1785,317,1054.699,67.383,71
1786,1986,899.779,92.719,71
1787,1030,304.418,89.891,71
1788,721,1115.998,102.933,71
1789,1184,450.881,116.275,71
1790,1515,1040.837,110.736,71
1791,505,1122.031,129.011,71
1792,823,1000.453,168.329,71
1793,520,1094.310,168.648,71
