ID,Area,XM,YM,Slice
380,442,702.744,470.839,22
381,641,954.634,519.742,22
382,941,833.387,615.038,22
383,878,1186.073,753.565,22
384,756,679.024,19.708,23
385,392,240.370,41.051,23
386,334,271.189,29.542,23
387,414,643.862,41.829,23
388,377,1072.118,64.458,23
389,608,1047.836,92.470,23
390,637,1110.263,175.870,23
391,1176,1357.780,374.114,23
392,930,792.586,358.075,23
393,503,822.134,354.490,23
394,811,1311.114,394.543,23
395,727,732.076,464.105,23
396,816,788.278,465.183,23
397,542,933.812,513.581,23
398,777,840.232,633.469,23
399,745,1204.477,768.770,23
400,907,181.239,804.775,23
401,867,208.016,794.017,23
402,355,967.835,800.742,23
403,807,1245.526,844.437,23
404,531,1101.933,58.894,24
405,479,713.945,52.736,24
406,752,1068.565,80.359,24
407,1099,1352.286,374.583,24
408,637,744.605,466.561,24
409,805,786.916,474.604,24
410,666,925.111,533.931,24
411,300,1385.087,514.250,24
412,613,842.417,656.138,24
413,485,260.312,691.403,24
414,970,1221.706,788.056,24
415,954,204.839,799.006,24
416,1058,1256.694,827.313,24
417,765,178.577,810.445,24
418,316,961.272,795.715,24
419,339,1380.232,1028.119,24
420,504,1117.000,32.329,25
421,848,1087.874,53.756,25
422,531,707.227,80.001,25
423,960,790.235,477.569,25
424,821,755.563,488.716,25
425,580,906.878,543.619,25
426,300,1072.987,509.770,25
427,401,865.011,560.844,25
428,763,255.659,687.369,25
429,606,1229.391,761.779,25
430,908,1251.740,812.089,25
431,447,1207.493,810.149,25
432,795,175.159,812.274,25
433,859,202.478,801.131,25
434,337,1300.141,832.266,25
435,817,1101.930,33.867,26
436,493,704.944,133.307,26
437,687,746.279,242.714,26
438,490,772.943,227.447,26
439,1523,794.205,497.264,26
440,400,1061.102,502.660,26
441,469,898.091,548.110,26
442,559,289.566,686.466,26
443,461,1233.624,758.624,26
444,844,201.918,797.673,26
445,779,175.147,811.194,26
446,703,1116.409,19.839,27
447,411,723.035,129.038,27
448,408,688.583,147.419,27
449,785,747.506,237.734,27
450,639,786.611,479.079,27
451,394,1105.360,475.972,27
452,361,1053.046,494.370,27
453,402,309.468,726.261,27
454,1278,173.366,812.932,27
455,793,1226.331,795.795,27
456,344,208.547,819.235,27
