id,from,to,from_frame,to_frame
488,1426,1456,57,58
489,1395,1426,56,57
490,1366,1395,55,56
491,1339,1366,54,55
492,1310,1339,53,54
493,1278,1310,52,53
494,1249,1278,51,52
495,1220,1249,50,51
496,1191,1220,49,50
497,1160,1191,48,49
498,1127,1160,47,48
499,1097,1127,46,47
500,1067,1097,45,46
501,1034,1067,44,45
502,1004,1034,43,44
503,974,1004,42,43
504,946,974,41,42
505,917,946,40,41
506,889,917,39,40
507,863,889,38,39
508,837,863,37,38
509,810,837,36,37
510,785,810,35,36
511,757,785,34,35
512,732,757,33,34
513,702,732,32,33
514,675,702,31,32
515,647,675,30,31
516,623,647,29,30
517,597,623,28,29
518,572,597,27,28
519,545,572,26,27
520,521,545,25,26
521,493,521,24,25
522,473,493,23,24
523,449,473,22,23
524,427,449,21,22
525,402,427,20,21
526,381,402,19,20
527,359,381,18,19
528,333,359,17,18
529,309,333,16,17
530,285,309,15,16
531,259,285,14,15
532,236,259,13,14
533,212,236,12,13
534,192,212,11,12
535,168,192,10,11
536,144,168,9,10
537,119,144,8,9
538,98,119,7,8
539,74,98,6,7
540,49,74,5,6
541,25,49,4,5
542,337,362,17,18
543,314,337,16,17
544,289,314,15,16
545,264,289,14,15
546,243,264,13,14
547,219,243,12,13
548,196,219,11,12
549,173,196,10,11
550,147,173,9,10
551,121,147,8,9
552,100,121,7,8
553,77,100,6,7
554,52,77,5,6
555,27,52,4,5
556,822,847,36,37
557,797,822,35,36
558,771,797,34,35
559,743,771,33,34
560,714,743,32,33
561,685,714,31,32
562,657,685,30,31
563,632,657,29,30
564,607,632,28,29
565,579,607,27,28
566,554,579,26,27
567,528,554,25,26
568,503,528,24,25
569,480,503,23,24
570,457,480,22,23
571,434,457,21,22
572,410,434,20,21
573,388,410,19,20
574,365,388,18,19
575,341,365,17,18
576,317,341,16,17
577,292,317,15,16
578,268,292,14,15
579,246,268,13,14
580,222,246,12,13
581,199,222,11,12
582,177,199,10,11
583,153,177,9,10
584,127,153,8,9
585,102,127,7,8
586,79,102,6,7
587,53,79,5,6
588,29,53,4,5
589,103,125,7,8
590,81,103,6,7
591,55,81,5,6
592,31,55,4,5
593,155,178,9,10
594,130,155,8,9
595,106,130,7,8
596,84,106,6,7
597,58,84,5,6
598,34,58,4,5
599,1106,1138,46,47
600,1076,1106,45,46
601,1046,1076,44,45
602,1013,1046,43,44
603,986,1013,42,43
604,955,986,41,42
605,929,955,40,41
606,902,929,39,40
607,875,902,38,39
608,851,875,37,38
609,826,851,36,37
610,800,826,35,36
611,775,800,34,35
612,747,775,33,34
613,718,747,32,33
614,690,718,31,32
615,663,690,30,31
616,637,663,29,30
617,613,637,28,29
618,585,613,27,28
619,560,585,26,27
620,534,560,25,26
621,507,534,24,25
622,484,507,23,24
623,460,484,22,23
624,436,460,21,22
625,413,436,20,21
626,390,413,19,20
627,368,390,18,19
628,344,368,17,18
629,321,344,16,17
630,297,321,15,16
631,271,297,14,15
632,249,271,13,14
633,225,249,12,13
634,202,225,11,12
635,183,202,10,11
636,159,183,9,10
637,134,159,8,9
638,111,134,7,8
639,89,111,6,7
640,63,89,5,6
641,39,63,4,5
642,112,136,8,9
643,91,112,7,8
644,65,91,6,7
645,41,65,5,6
646,184,204,10,11
647,160,184,9,10
648,135,160,8,9
649,109,135,7,8
650,86,109,6,7
651,60,86,5,6
652,681,709,31,32
653,654,681,30,31
654,629,654,29,30
655,603,629,28,29
656,577,603,27,28
657,552,577,26,27
658,526,552,25,26
659,500,526,24,25
660,477,500,23,24
661,454,477,22,23
662,431,454,21,22
663,408,431,20,21
664,385,408,19,20
665,361,385,18,19
666,336,361,17,18
667,313,336,16,17
668,288,313,15,16
669,262,288,14,15
670,240,262,13,14
671,215,240,12,13
672,193,215,11,12
673,169,193,10,11
674,145,169,9,10
675,120,145,8,9
676,194,217,11,12
677,171,194,10,11
678,150,171,9,10
679,123,150,8,9
680,274,298,15,16
681,251,274,14,15
682,227,251,13,14
683,205,227,12,13
684,185,205,11,12
685,284,311,15,16
686,261,284,14,15
687,241,261,13,14
688,216,241,12,13
689,384,407,19,20
690,360,384,18,19
691,334,360,17,18
692,307,334,16,17
693,282,307,15,16
694,257,282,14,15
695,234,257,13,14
696,1892,1927,72,73
697,1857,1892,71,72
698,1826,1857,70,71
699,1796,1826,69,70
700,1766,1796,68,69
701,1736,1766,67,68
702,1706,1736,66,67
703,1675,1706,65,66
704,1643,1675,64,65
705,1609,1643,63,64
706,1575,1609,62,63
707,1546,1575,61,62
708,1516,1546,60,61
709,1486,1516,59,60
710,1458,1486,58,59
711,1427,1458,57,58
712,1396,1427,56,57
713,1367,1396,55,56
714,1338,1367,54,55
715,1309,1338,53,54
716,1277,1309,52,53
717,1248,1277,51,52
718,1219,1248,50,51
719,1190,1219,49,50
720,1161,1190,48,49
721,1128,1161,47,48
722,1098,1128,46,47
723,1068,1098,45,46
724,1038,1068,44,45
725,1006,1038,43,44
726,978,1006,42,43
727,949,978,41,42
728,922,949,40,41
729,893,922,39,40
730,867,893,38,39
731,843,867,37,38
732,818,843,36,37
733,793,818,35,36
734,766,793,34,35
735,738,766,33,34
736,708,738,32,33
737,680,708,31,32
738,653,680,30,31
739,628,653,29,30
740,602,628,28,29
741,576,602,27,28
742,550,576,26,27
743,523,550,25,26
744,496,523,24,25
745,475,496,23,24
746,451,475,22,23
747,429,451,21,22
748,405,429,20,21
749,382,405,19,20
750,357,382,18,19
751,332,357,17,18
752,310,332,16,17
753,283,310,15,16
754,258,283,14,15
755,418,439,20,21
756,394,418,19,20
757,371,394,18,19
758,343,371,17,18
759,318,343,16,17
760,293,318,15,16
761,266,293,14,15
762,1904,1939,72,73
763,1869,1904,71,72
764,1836,1869,70,71
765,1806,1836,69,70
766,1776,1806,68,69
767,1746,1776,67,68
768,1715,1746,66,67
769,1683,1715,65,66
770,1651,1683,64,65
771,1619,1651,63,64
772,1583,1619,62,63
773,1552,1583,61,62
774,1521,1552,60,61
775,1491,1521,59,60
776,1461,1491,58,59
777,1430,1461,57,58
778,1398,1430,56,57
779,1369,1398,55,56
780,1340,1369,54,55
781,1311,1340,53,54
782,1279,1311,52,53
783,1250,1279,51,52
784,1221,1250,50,51
785,1192,1221,49,50
786,1162,1192,48,49
787,1129,1162,47,48
788,1099,1129,46,47
789,1069,1099,45,46
790,1040,1069,44,45
791,1009,1040,43,44
792,980,1009,42,43
793,951,980,41,42
794,924,951,40,41
795,896,924,39,40
796,870,896,38,39
797,845,870,37,38
798,820,845,36,37
799,794,820,35,36
800,767,794,34,35
801,739,767,33,34
802,710,739,32,33
803,682,710,31,32
804,655,682,30,31
805,630,655,29,30
806,605,630,28,29
807,578,605,27,28
808,553,578,26,27
809,527,553,25,26
810,502,527,24,25
811,478,502,23,24
812,455,478,22,23
813,432,455,21,22
814,409,432,20,21
815,386,409,19,20
816,363,386,18,19
817,338,363,17,18
818,814,840,36,37
819,790,814,35,36
820,762,790,34,35
821,734,762,33,34
822,705,734,32,33
823,677,705,31,32
824,649,677,30,31
825,625,649,29,30
826,598,625,28,29
827,571,598,27,28
828,546,571,26,27
829,520,546,25,26
830,494,520,24,25
831,469,494,23,24
832,444,469,22,23
833,425,444,21,22
834,399,425,20,21
835,376,399,19,20
836,350,376,18,19
837,666,694,31,32
838,640,666,30,31
839,615,640,29,30
840,588,615,28,29
841,563,588,27,28
842,536,563,26,27
843,511,536,25,26
844,486,511,24,25
845,463,486,23,24
846,440,463,22,23
847,419,440,21,22
848,395,419,20,21
849,372,395,19,20
850,964,996,42,43
851,936,964,41,42
852,909,936,40,41
853,882,909,39,40
854,858,882,38,39
855,834,858,37,38
856,809,834,36,37
857,786,809,35,36
858,758,786,34,35
859,729,758,33,34
860,699,729,32,33
861,671,699,31,32
862,644,671,30,31
863,620,644,29,30
864,592,620,28,29
865,564,592,27,28
866,538,564,26,27
867,513,538,25,26
868,489,513,24,25
869,467,489,23,24
870,443,467,22,23
871,422,443,21,22
872,398,422,20,21
873,374,398,19,20
874,575,601,27,28
875,551,575,26,27
876,525,551,25,26
877,499,525,24,25
878,476,499,23,24
879,453,476,22,23
880,430,453,21,22
881,406,430,20,21
882,695,723,32,33
883,667,695,31,32
884,641,667,30,31
885,616,641,29,30
886,589,616,28,29
887,566,589,27,28
888,539,566,26,27
889,516,539,25,26
890,491,516,24,25
891,471,491,23,24
892,447,471,22,23
893,1900,1936,72,73
894,1865,1900,71,72
895,1833,1865,70,71
896,1802,1833,69,70
897,1771,1802,68,69
898,1741,1771,67,68
899,1711,1741,66,67
900,1679,1711,65,66
901,1647,1679,64,65
902,1615,1647,63,64
903,1580,1615,62,63
904,1550,1580,61,62
905,1519,1550,60,61
906,1490,1519,59,60
907,1460,1490,58,59
908,1429,1460,57,58
909,1399,1429,56,57
910,1370,1399,55,56
911,1342,1370,54,55
912,1313,1342,53,54
913,1282,1313,52,53
914,1253,1282,51,52
915,1224,1253,50,51
916,1195,1224,49,50
917,1166,1195,48,49
918,1133,1166,47,48
919,1102,1133,46,47
920,1073,1102,45,46
921,1042,1073,44,45
922,1010,1042,43,44
923,981,1010,42,43
924,953,981,41,42
925,926,953,40,41
926,897,926,39,40
927,871,897,38,39
928,846,871,37,38
929,821,846,36,37
930,796,821,35,36
931,769,796,34,35
932,741,769,33,34
933,712,741,32,33
934,684,712,31,32
935,658,684,30,31
936,633,658,29,30
937,608,633,28,29
938,581,608,27,28
939,557,581,26,27
940,531,557,25,26
941,506,531,24,25
942,482,506,23,24
943,459,482,22,23
944,627,652,29,30
945,600,627,28,29
946,574,600,27,28
947,549,574,26,27
948,524,549,25,26
949,497,524,24,25
950,1139,1173,47,48
951,1108,1139,46,47
952,1078,1108,45,46
953,1048,1078,44,45
954,1014,1048,43,44
955,987,1014,42,43
956,956,987,41,42
957,928,956,40,41
958,901,928,39,40
959,874,901,38,39
960,850,874,37,38
961,824,850,36,37
962,799,824,35,36
963,774,799,34,35
964,746,774,33,34
965,717,746,32,33
966,688,717,31,32
967,662,688,30,31
968,636,662,29,30
969,611,636,28,29
970,586,611,27,28
971,561,586,26,27
972,535,561,25,26
973,510,535,24,25
974,1894,1929,72,73
975,1859,1894,71,72
976,1828,1859,70,71
977,1798,1828,69,70
978,1768,1798,68,69
979,1738,1768,67,68
980,1707,1738,66,67
981,1676,1707,65,66
982,1642,1676,64,65
983,1611,1642,63,64
984,1574,1611,62,63
985,1545,1574,61,62
986,1515,1545,60,61
987,1485,1515,59,60
988,1455,1485,58,59
989,1423,1455,57,58
990,1393,1423,56,57
991,1364,1393,55,56
992,1336,1364,54,55
993,1307,1336,53,54
994,1275,1307,52,53
995,1247,1275,51,52
996,1217,1247,50,51
997,1188,1217,49,50
998,1157,1188,48,49
999,1124,1157,47,48
1000,1094,1124,46,47
1001,1064,1094,45,46
1002,1033,1064,44,45
1003,1003,1033,43,44
1004,973,1003,42,43
1005,945,973,41,42
1006,918,945,40,41
1007,891,918,39,40
1008,865,891,38,39
1009,841,865,37,38
1010,815,841,36,37
1011,791,815,35,36
