ID,XM,YM,Slice
420,724.95,659.05,11
421,114.593,621.287,11
422,1220.923,738.897,11
423,793.044,702.762,11
424,64.693,664.365,11
425,1325.909,662.039,11
426,121.099,665.692,11
427,339.246,658.626,11
428,654.327,679.535,11
429,905.82,644.564,11
430,17.069,671.809,11
431,932.916,698.16,11
432,888.254,669.346,11
433,1055.041,687.888,11
434,588.071,696.526,11
435,211.466,681.736,11
436,370.465,893.021,11
437,266.964,691.881,11
438,312.79,690.416,11
439,161.062,690.971,11
440,427.224,706.722,11
441,258.215,750.818,11
442,89.424,711.205,11
443,396.105,716.36,11
444,1122.396,717.801,11
445,866.975,713.529,11
446,23.004,760.963,11
447,523.317,844.796,11
448,1028.089,739.321,11
449,692.49,727.752,11
450,1004.396,729.359,11
451,1372.275,737.699,11
452,947.481,781.555,11
453,635.84,748.053,11
454,736.708,901.64,11
455,79.762,775.35,11
456,350.634,770.888,11
457,115.87,771.604,11
458,810.463,765.643,11
459,983.929,770.556,11
460,1053.676,773.418,11
461,898.306,813.64,11
462,1379.445,793.266,11
463,630.597,784.638,11
464,172.16,820.895,11
465,1333.172,792.983,11
466,973.96,807.089,11
467,1099.488,798.839,11
468,761.287,805.652,11
469,586.599,802.76,11
470,1002.304,806.568,11
471,1039.029,807.287,11
472,823.421,822.316,11
473,642.787,828.738,11
474,1152.661,822.888,11
475,1026.661,842.625,11
476,24.879,821.357,11
477,1085.209,833.079,11
478,1303.318,836.137,11
479,451.5,833.494,11
480,579.522,834.412,11
481,1351.274,838.929,11
482,55.867,898.462,11
483,620.626,849.281,11
484,1249.779,846.016,11
485,601.739,867.585,11
486,1139.158,858.809,11
487,250.178,872.946,11
488,967.38,858.56,11
489,189.426,862.901,11
490,1270.818,889.492,11
491,974.261,875.337,11
492,1103.125,884.633,11
493,157.117,939.593,11
494,925.061,895.166,11
495,1055.695,918.232,11
496,7.926,909.413,11
497,1215.299,910.924,11
498,1172.811,918.851,11
499,994.646,984.055,11
500,1298.994,929.525,11
501,602.004,970.375,11
502,941.476,926.731,11
503,1378.365,941.095,11
504,1196.346,989.694,11
505,1088.75,960.417,11
506,290.012,972.302,11
507,874.46,968.807,11
508,95.083,1008.72,11
509,1111.955,976.951,11
510,519.495,980.244,11
511,859.45,985.35,11
512,1327.957,986.744,11
513,837.765,994.275,11
514,295.763,1018.781,11
515,1324.671,1006.481,11
516,1260.389,1025.311,11
517,804.272,1026.714,11
518,189.524,1026.606,11
519,1075.002,1030.309,11
520,377.967,1027.216,11
521,759.833,1029.678,11
522,264.037,1031.221,11
523,222.901,1033.704,11
524,1125.1,121.658,12
525,1214.231,148.161,12
526,649.516,151.306,12
527,1001.984,168.331,12
528,660.038,178.477,12
529,968.333,210.661,12
530,975.468,301.017,12
531,487.334,306.082,12
532,727.571,308.179,12
533,668.261,382.783,12
534,512.245,389.399,12
535,686.953,423.537,12
536,35.477,545.737,12
537,675.939,567.934,12
538,1378.983,577.874,12
539,818.66,698.95,12
540,796.033,710.46,12
541,1235.497,722.904,12
542,549.685,750.496,12
543,397.418,773.597,12
544,340.997,798.465,12
545,230.814,800.769,12
546,148.486,828.88,12
547,232.556,832.88,12
548,319.416,840.922,12
549,30.721,893.171,12
550,450.425,903.857,12
551,766.408,896.509,12
552,782.806,924.475,12
553,759.803,922.337,12
554,165.172,960.849,12
555,1273.264,973.398,12
556,1245.637,992.856,12
557,1025.512,1009.186,12
558,91.017,1016.902,12
559,1286.482,1026.914,12
560,86.191,23.999,13
561,190.091,8.316,13
562,305.184,34.027,13
563,342.998,8.413,13
564,395.076,13.942,13
565,471.647,8.145,13
566,587.238,22.564,13
567,660.369,91.35,13
568,763.896,3.986,13
569,829.849,37.747,13
570,951.36,186.773,13
571,958.642,10.493,13
572,1005.726,23.604,13
573,1168.043,98.783,13
574,1380.624,7.153,13
575,18.914,24.593,13
576,512.098,43.71,13
577,448.224,26.866,13
578,782.792,26.876,13
579,136.69,160.746,13
580,1049.801,42.503,13
581,232.943,36.842,13
582,1284.769,40.721,13
583,213.661,39.399,13
584,1387.695,56.953,13
585,431.139,57.095,13
586,1324.301,60.871,13
587,1350.45,51.145,13
588,386.574,105.63,13
589,467.958,65.363,13
590,38.335,73.864,13
591,1028.705,75.189,13
592,1062.138,75.498,13
593,1388.101,92.927,13
594,461.381,94.86,13
595,1357.465,96.5,13
596,948.709,100.347,13
597,1040.58,98.029,13
598,15.397,117.6,13
599,534.662,162.929,13
600,268.191,128.894,13
601,323.055,109.045,13
602,1284.048,121.74,13
603,751.945,118.438,13
604,798.011,116.54,13
605,770.266,132.286,13
606,348.721,155.803,13
607,805.025,197.219,13
608,1381.113,157.682,13
609,184.493,161.982,13
610,459.121,200.397,13
611,1255.935,162.008,13
612,251.834,242.321,13
613,721.423,177.717,13
614,1332.274,175.213,13
615,1310.033,184.205,13
616,677.748,197.696,13
617,1383.545,205.445,13
618,62.445,195.662,13
619,345.272,212.338,13
620,1187.565,286.225,13
621,413.781,226.619,13
622,754.791,221.1,13
623,1299.592,291.638,13
624,678.985,234.695,13
625,564.285,228.63,13
626,590.198,253.707,13
627,374.91,240.438,13
628,351.836,239.513,13
629,67.096,280.565,13
630,764.908,252.39,13
631,1083.543,257.753,13
632,811.739,252.615,13
633,313.986,249.46,13
634,1372.893,258.202,13
635,508.442,290.247,13
636,426.252,280.629,13
637,683.154,368.748,13
638,873.896,300.564,13
639,378.607,269.478,13
640,352.76,308.524,13
641,1293.579,283.192,13
642,802.325,306.075,13
643,831.782,295.396,13
644,176.143,303.072,13
645,1048.576,299.583,13
646,1374.721,311.053,13
647,1107.996,329.617,13
648,927.449,314.487,13
649,1144.082,316.194,13
650,229.002,324.076,13
651,295.846,391.333,13
652,816.659,324.799,13
653,1052.022,359.928,13
654,50.928,344.107,13
655,249.602,344.432,13
656,1364.957,350.015,13
657,1015.777,349.409,13
658,146.053,359.155,13
659,434.572,389.334,13
660,472.277,349.094,13
661,610.153,366.12,13
662,523.187,388.181,13
663,558.34,357.589,13
664,259.932,370.859,13
665,982.298,435.149,13
666,1166.168,421.3,13
667,898.56,390.09,13
668,571.74,381.84,13
669,807.939,395.744,13
670,1298.631,410.931,13
671,1385.792,400.428,13
672,231.164,460.823,13
673,26.729,398.226,13
674,1061.38,420.949,13
675,94.757,404.809,13
676,165.29,415.96,13
677,1266.213,417.724,13
678,149.935,410.243,13
679,906.962,414.742,13
680,328.927,420.4,13
681,839.921,430.696,13
682,906.602,462.357,13
683,1256.361,442.165,13
684,502.866,448.773,13
685,462.016,445.11,13
686,273.783,464.036,13
687,1340.892,556.2,13
688,65.932,515.91,13
689,409.93,460.014,13
690,776.053,493.734,13
691,723.129,471.125,13
692,373.251,499.353,13
693,1126.765,485.761,13
694,680.999,474.719,13
695,1248.988,474.963,13
696,1222.17,537.045,13
697,1307.603,493.606,13
698,1076.111,497.521,13
699,21.482,485.667,13
700,420.25,488.313,13
701,1044.98,502.245,13
702,830.548,508.514,13
703,531.162,502.453,13
704,1107.081,532.13,13
705,693.218,547.352,13
706,465.441,532.446,13
707,919.727,551.633,13
708,529.001,530.806,13
709,1017.38,520.361,13
710,833.002,542.233,13
711,214.403,565.913,13
712,288.823,550.12,13
713,170.536,543.359,13
714,1011.754,550.112,13
715,1150.281,576.973,13
716,102.111,575.419,13
717,593.953,568.415,13
718,870.902,607.989,13
719,746.388,564.965,13
720,533.552,571.164,13
721,363.754,612.659,13
722,1013.521,581.72,13
723,1037.143,609.105,13
724,775.733,582.216,13
725,1092.778,584.311,13
726,148.53,601.096,13
727,481.596,622.722,13
728,268.138,587.562,13
729,623.529,601.168,13
730,737.983,606,13
731,1196.534,609.745,13
732,676.58,602.871,13
733,577.443,625.023,13
734,267.312,673.766,13
735,61.94,613.863,13
736,783.384,607.333,13
737,130.366,655.937,13
738,1135.553,661.385,13
739,624.011,627.312,13
740,1221.009,695.451,13
741,721.832,661.641,13
742,1333.441,654.56,13
743,817.127,720.316,13
744,656.902,680.377,13
745,548.483,706.562,13
746,797.181,660.511,13
747,928.226,703.298,13
